# packages in environment at /home/alberto/anaconda3/envs/py27:
#
# Name                    Version                   Build  Channel
anaconda                  custom           py27h4a00acb_0  
bcftools                  1.9                  h4da6232_0    bioconda
bedops                    2.4.35               h2d50403_1    bioconda
bedtools                  2.27.1               he941832_2    bioconda
blas                      1.0                         mkl  
bwa                       0.7.17               ha92aebf_3    bioconda
bx-python                 0.8.2            py27h355e19c_0    bioconda
bz2file                   0.98                       py_0    conda-forge
bzip2                     1.0.6                h470a237_2    conda-forge
ca-certificates           2018.11.29           ha4d7672_0    conda-forge
cairo                     1.14.12              h276e583_5    conda-forge
certifi                   2018.11.29            py27_1000    conda-forge
clustalw                  2.1                  h2d50403_2    bioconda
curl                      7.63.0               h74213dd_0    conda-forge
cutadapt                  1.18                     py27_0    bioconda
cython                    0.29.1           py27hfc679d8_0    conda-forge
expat                     2.2.5                hfc679d8_2    conda-forge
fastx_toolkit             0.0.14                        2    bioconda
fontconfig                2.13.1               h65d0f4c_0    conda-forge
freetype                  2.9.1                h6debe1e_4    conda-forge
gettext                   0.19.8.1             h5e8e0c9_1    conda-forge
ghostscript               9.22                 hfc679d8_1    conda-forge
giflib                    5.1.4                h470a237_1    conda-forge
glib                      2.56.2               h464dc38_1    conda-forge
gnuplot                   5.0.3                         4    bioconda
graphite2                 1.3.12               hfc679d8_1    conda-forge
graphviz                  2.38.0               h08bfae6_9    conda-forge
harfbuzz                  1.9.0                h04dbb29_1    conda-forge
hisat2                    2.1.0            py27h2d50403_2    bioconda
htslib                    1.9                  hc238db4_4    bioconda
icu                       58.2                 hfc679d8_0    conda-forge
intel-openmp              2019.1                      144  
jpeg                      9c                   h470a237_1    conda-forge
krb5                      1.16.2               hbb41f41_0    conda-forge
libcurl                   7.63.0               hbdb9355_0    conda-forge
libdb                     6.1.26            hfc679d8_1000    conda-forge
libdeflate                1.0                  h470a237_0    bioconda
libedit                   3.1.20170329         haf1bffa_1    conda-forge
libffi                    3.2.1                hfc679d8_5    conda-forge
libgcc                    7.2.0                h69d50b8_2    conda-forge
libgcc-ng                 7.2.0                hdf63c60_3    conda-forge
libgd                     2.2.5                hed1f559_4    conda-forge
libgfortran               3.0.0                         1    conda-forge
libgfortran-ng            7.2.0                hdf63c60_3    conda-forge
libgtextutils             0.7                  h470a237_4    bioconda
libiconv                  1.15                 h470a237_3    conda-forge
libpng                    1.6.36               ha92aebf_0    conda-forge
libssh2                   1.8.0                h5b517e9_3    conda-forge
libstdcxx-ng              7.2.0                hdf63c60_3    conda-forge
libtiff                   4.0.10               he6b73bb_1    conda-forge
libtool                   2.4.6                h470a237_2    conda-forge
libuuid                   2.32.1               h470a237_2    conda-forge
libwebp                   1.0.1                h08eee79_0    conda-forge
libxcb                    1.13                 h470a237_2    conda-forge
libxml2                   2.9.8                h422b904_5    conda-forge
libxslt                   1.1.32               h88dbc4e_2    conda-forge
lzo                       2.10                 h470a237_0    conda-forge
meme                      5.0.2           py27pl526h96dd833_5    bioconda
mkl                       2018.0.3                      1  
mkl_fft                   1.0.10                   py27_0    conda-forge
mkl_random                1.0.2                    py27_0    conda-forge
mpi                       1.0                     openmpi    conda-forge
mysql-connector-c         6.1.6                         0    conda-forge
ncurses                   6.1                  hfc679d8_2    conda-forge
nose                      1.3.7                 py27_1002    conda-forge
numpy                     1.15.0           py27h1b885b7_0  
numpy-base                1.15.0           py27h3dfced4_0  
openmpi                   3.1.2                h26a2512_2    conda-forge
openssl                   1.0.2p               h470a237_1    conda-forge
paml                      4.9                  h470a237_3    bioconda
pango                     1.40.14              he752989_2    conda-forge
pcre                      8.41                 hfc679d8_3    conda-forge
perl                      5.26.2               h470a237_0    conda-forge
perl-aceperl              1.92                    pl526_2    bioconda
perl-algorithm-diff       1.1903                  pl526_2    bioconda
perl-algorithm-munkres    0.08                    pl526_1    bioconda
perl-apache-test          1.40                    pl526_1    bioconda
perl-app-cpanminus        1.7044                  pl526_1    bioconda
perl-appconfig            1.71                    pl526_1    bioconda
perl-array-compare        3.0.1                   pl526_1    bioconda
